customer_id,age,gender,city,education,employment_type,monthly_income,credit_score,loan_amount,loan_term_months,interest_rate,existing_loans,default_history,marital_status,dependents,property_ownership,vehicle_ownership,insurance,bank_balance,avg_monthly_expense,last_login_days,mobile_app_user,customer_rating,churn_risk,loan_approved
17.0,57.0,Female,,Diploma,Unemployed,114356.0,,254462.0,48.0,9.04,5.0,Yes,Single,0.0,Owned,,Yes,629147.0,86298.0,,No,3.3,Low,No
18.0,56.0,Male,Delhi,High School,Self-Employed,178310.0,753.0,648492.0,36.0,10.34,5.0,Yes,Divorced,1.0,Rented,Yes,,598526.0,83856.0,154.0,,4.4,Medium,
19.0,22.0,Female,Mumbai,PhD,Self-Employed,67312.0,480.0,33672.0,12.0,18.56,0.0,,Married,4.0,Mortgaged,Yes,No,313230.0,41236.0,209.0,No,1.8,,No
20.0,,Male,Ahmedabad,Diploma,Salaried,,735.0,649336.0,60.0,17.41,2.0,Yes,,0.0,Mortgaged,Yes,Yes,1487955.0,30466.0,,Yes,4.5,Low,Yes
21.0,25.0,Male,Delhi,High School,Self-Employed,179570.0,866.0,125468.0,,7.56,3.0,Yes,Divorced,4.0,Rented,Yes,Yes,602273.0,,294.0,No,1.7,Medium,Yes
22.0,62.0,Male,Bangalore,Diploma,Self-Employed,153887.0,475.0,502387.0,48.0,18.12,5.0,Yes,Married,3.0,Rented,Yes,No,812053.0,,317.0,No,2.4,Low,No
,18.0,,Ahmedabad,Diploma,Self-Employed,159798.0,421.0,21978.0,24.0,18.02,0.0,No,Single,4.0,Owned,No,Yes,,89870.0,,No,1.4,,Yes
24.0,29.0,Female,Ahmedabad,Diploma,Unemployed,54314.0,823.0,543292.0,12.0,12.83,4.0,No,Married,3.0,Mortgaged,Yes,No,511102.0,67354.0,303.0,No,4.0,High,Yes
25.0,24.0,Female,Pune,,Self-Employed,104292.0,760.0,493899.0,48.0,8.66,4.0,Yes,Single,1.0,Mortgaged,Yes,No,443375.0,14291.0,119.0,No,,Medium,
26.0,37.0,Male,Hyderabad,Post Graduate,Business,142570.0,798.0,90439.0,36.0,8.21,5.0,,Married,0.0,Mortgaged,Yes,,1244501.0,19553.0,189.0,Yes,4.0,Medium,Yes
,62.0,Female,,,Unemployed,62071.0,443.0,225803.0,36.0,7.51,3.0,No,Single,4.0,Owned,No,Yes,856219.0,8011.0,71.0,No,4.8,,No
28.0,,Female,Delhi,High School,Self-Employed,193753.0,,576518.0,24.0,13.45,1.0,,Divorced,,Owned,,No,1417175.0,66194.0,225.0,Yes,3.4,High,Yes
29.0,42.0,,Delhi,Post Graduate,,135879.0,854.0,278292.0,12.0,19.23,3.0,Yes,Divorced,0.0,Mortgaged,Yes,No,833703.0,41646.0,300.0,Yes,,Low,Yes
30.0,66.0,Male,Ahmedabad,Post Graduate,Business,166039.0,637.0,326488.0,72.0,,4.0,Yes,Divorced,5.0,Owned,Yes,Yes,,59327.0,149.0,,1.2,Medium,No
31.0,18.0,Male,Hyderabad,PhD,Salaried,,,275786.0,48.0,12.36,5.0,No,Single,5.0,,No,No,1447884.0,75268.0,192.0,,1.8,High,No
32.0,52.0,Female,Delhi,PhD,Business,187032.0,497.0,411320.0,36.0,8.38,1.0,No,Single,0.0,,,No,314909.0,84735.0,34.0,,3.9,Low,No
33.0,27.0,Female,Delhi,,Unemployed,158613.0,474.0,620801.0,12.0,11.82,3.0,No,Divorced,,Owned,,,1312005.0,,54.0,,4.1,Medium,Yes
34.0,32.0,Female,Ahmedabad,High School,Salaried,161392.0,368.0,717711.0,72.0,8.34,4.0,,Divorced,2.0,Mortgaged,Yes,Yes,74935.0,33401.0,266.0,Yes,,Low,No
35.0,56.0,Male,Ahmedabad,,Business,153657.0,384.0,791378.0,24.0,12.84,5.0,Yes,Single,3.0,,Yes,No,934002.0,69760.0,52.0,,4.2,Low,Yes
36.0,22.0,Female,Ahmedabad,,Salaried,53599.0,845.0,406064.0,12.0,11.41,4.0,No,Single,4.0,Owned,No,,721907.0,92245.0,95.0,No,4.4,,Yes
37.0,64.0,,Pune,Post Graduate,Self-Employed,26934.0,513.0,271346.0,72.0,18.87,2.0,No,,,Rented,Yes,No,388648.0,62703.0,205.0,No,4.5,Low,No
38.0,,,,Diploma,Self-Employed,103985.0,895.0,90567.0,12.0,11.01,0.0,No,,2.0,,Yes,No,1151154.0,,325.0,Yes,,Low,Yes
,41.0,,Chennai,High School,Business,,426.0,677551.0,12.0,,2.0,No,,5.0,Rented,Yes,No,1046727.0,49679.0,,,4.5,High,No
40.0,53.0,Male,Delhi,Post Graduate,Business,22649.0,537.0,542169.0,24.0,13.24,0.0,No,Single,2.0,Rented,No,Yes,386134.0,30021.0,243.0,No,4.1,Medium,Yes
41.0,21.0,Female,Pune,Graduate,Salaried,132024.0,851.0,278136.0,60.0,7.17,0.0,No,Single,5.0,Owned,No,No,629858.0,68159.0,324.0,Yes,1.6,Medium,No
42.0,26.0,Female,Hyderabad,Post Graduate,Self-Employed,33152.0,336.0,307253.0,24.0,15.92,2.0,,Single,5.0,Rented,,No,543578.0,73307.0,356.0,No,1.0,Low,No
43.0,37.0,Male,Pune,High School,Self-Employed,52415.0,637.0,42034.0,48.0,16.68,0.0,Yes,Divorced,5.0,Mortgaged,Yes,No,652670.0,51863.0,91.0,No,,High,No
44.0,,Male,Ahmedabad,,Self-Employed,,725.0,630472.0,36.0,,0.0,Yes,,3.0,Mortgaged,Yes,Yes,1424203.0,,38.0,No,,Medium,Yes
45.0,19.0,Female,Chennai,Graduate,Business,102450.0,342.0,119527.0,12.0,11.55,4.0,Yes,Married,0.0,Rented,Yes,Yes,1017724.0,77964.0,54.0,No,,Low,
,18.0,Male,Bangalore,Diploma,Business,65936.0,669.0,,36.0,18.76,1.0,No,Married,2.0,,Yes,Yes,866072.0,55574.0,27.0,No,1.7,Medium,No
47.0,34.0,Female,Pune,PhD,Self-Employed,14237.0,764.0,413299.0,36.0,11.98,5.0,No,Married,4.0,Owned,Yes,No,850808.0,6309.0,330.0,No,,Low,No
48.0,49.0,Female,Hyderabad,PhD,Business,36240.0,468.0,100483.0,60.0,,5.0,Yes,Married,,Mortgaged,No,Yes,,35876.0,100.0,Yes,4.4,High,Yes
49.0,47.0,Male,Pune,High School,,37684.0,323.0,748841.0,60.0,,3.0,,Married,1.0,,Yes,No,985425.0,49213.0,265.0,Yes,3.9,High,
50.0,62.0,Female,Bangalore,Diploma,Business,57900.0,551.0,776402.0,12.0,14.6,5.0,Yes,Divorced,5.0,Mortgaged,No,Yes,136538.0,,141.0,Yes,3.8,,
51.0,,Female,Ahmedabad,High School,Salaried,40460.0,661.0,766475.0,,11.22,1.0,Yes,Married,3.0,Owned,No,Yes,728908.0,6948.0,330.0,Yes,4.2,High,Yes
52.0,25.0,Female,Hyderabad,Post Graduate,,71550.0,730.0,770739.0,,14.86,0.0,Yes,Single,1.0,Mortgaged,No,Yes,1293071.0,93406.0,118.0,Yes,4.1,Low,Yes
53.0,41.0,Female,Ahmedabad,High School,Unemployed,,317.0,378094.0,72.0,7.54,,Yes,Married,1.0,,No,Yes,1079222.0,10013.0,205.0,No,1.6,,Yes
54.0,28.0,Female,,Graduate,Salaried,,613.0,575260.0,12.0,18.55,2.0,No,Married,3.0,,No,No,905014.0,89285.0,170.0,No,4.7,Medium,Yes
55.0,,,Mumbai,PhD,Self-Employed,35539.0,824.0,453292.0,12.0,13.53,3.0,No,Divorced,,Mortgaged,No,Yes,222398.0,89201.0,205.0,,1.2,,Yes
56.0,53.0,Male,Hyderabad,High School,Self-Employed,114423.0,637.0,286051.0,60.0,13.31,4.0,No,Divorced,3.0,Rented,Yes,No,,68745.0,123.0,No,4.2,Medium,Yes
57.0,18.0,Female,Mumbai,High School,Salaried,102310.0,760.0,301265.0,,17.93,3.0,,Married,2.0,Owned,No,No,1137837.0,41981.0,203.0,No,4.3,High,No
,,Female,Pune,Graduate,Unemployed,,,106484.0,24.0,17.75,5.0,Yes,Divorced,,Mortgaged,Yes,Yes,990867.0,65307.0,343.0,,,,
59.0,41.0,Male,Pune,PhD,Self-Employed,167768.0,678.0,285512.0,24.0,16.16,3.0,,Divorced,5.0,Mortgaged,,No,1141606.0,52430.0,141.0,,,Medium,No
60.0,,Male,Hyderabad,PhD,Business,,708.0,465685.0,12.0,11.82,2.0,Yes,,3.0,Rented,No,No,,66398.0,70.0,,5.0,High,
61.0,,Female,Chennai,Post Graduate,Business,199560.0,734.0,149437.0,72.0,11.29,,Yes,Single,,Rented,Yes,No,1233436.0,37692.0,84.0,No,2.9,Medium,Yes
62.0,39.0,Male,Bangalore,Graduate,Unemployed,144131.0,609.0,371955.0,48.0,19.32,0.0,Yes,Married,0.0,Mortgaged,No,,1437042.0,11652.0,222.0,No,2.6,High,No
63.0,54.0,Male,Delhi,Post Graduate,,122522.0,300.0,295490.0,60.0,16.83,4.0,No,Divorced,0.0,Mortgaged,Yes,Yes,,86637.0,187.0,No,3.0,High,No
,53.0,Female,,PhD,,12080.0,611.0,,48.0,11.2,5.0,No,Single,2.0,Rented,,Yes,253642.0,55731.0,328.0,No,4.2,Medium,Yes
65.0,51.0,Male,Bangalore,,,172858.0,,105235.0,12.0,17.96,0.0,No,Divorced,3.0,Owned,No,No,873288.0,63002.0,337.0,No,4.5,Medium,Yes
66.0,,Male,Chennai,Diploma,,33855.0,656.0,116074.0,,12.28,,No,Married,2.0,Mortgaged,Yes,,763782.0,8437.0,236.0,Yes,3.8,Low,No
67.0,45.0,,Delhi,Graduate,Unemployed,112450.0,,342239.0,,8.41,0.0,No,Divorced,5.0,,Yes,No,,49091.0,300.0,Yes,3.4,Medium,No
68.0,51.0,Female,Chennai,High School,Self-Employed,68041.0,519.0,441399.0,48.0,,0.0,Yes,Divorced,,Mortgaged,Yes,Yes,384086.0,13224.0,260.0,Yes,4.8,High,No
,37.0,Male,Ahmedabad,Graduate,Business,100086.0,419.0,325502.0,,15.88,1.0,No,Divorced,5.0,Rented,No,,,,187.0,Yes,2.9,Low,Yes
70.0,45.0,Male,,,Business,180093.0,786.0,124301.0,60.0,16.68,,No,Divorced,4.0,,No,,580537.0,15899.0,152.0,No,1.1,,No
71.0,22.0,Male,,Graduate,Salaried,148061.0,683.0,216707.0,,14.44,3.0,No,Married,,Owned,No,Yes,762180.0,18473.0,158.0,Yes,1.0,,
72.0,,Male,Ahmedabad,PhD,Business,,,743859.0,36.0,14.2,2.0,No,Single,4.0,Rented,No,Yes,124298.0,90900.0,228.0,Yes,4.1,Low,No
73.0,51.0,,Delhi,PhD,,115958.0,380.0,,48.0,6.65,2.0,Yes,Married,3.0,Rented,Yes,Yes,221871.0,64460.0,323.0,Yes,1.7,Low,No
74.0,48.0,Female,Chennai,Post Graduate,Self-Employed,26098.0,690.0,441041.0,,11.93,5.0,No,Married,4.0,Rented,Yes,Yes,785079.0,61020.0,270.0,No,3.5,,No
75.0,55.0,Female,Bangalore,PhD,Salaried,175762.0,748.0,274841.0,36.0,6.89,5.0,Yes,Single,4.0,,No,No,699782.0,11192.0,,No,4.5,Medium,Yes
76.0,27.0,Female,,Diploma,Salaried,145670.0,865.0,653562.0,72.0,6.77,5.0,No,Divorced,2.0,Rented,Yes,Yes,683036.0,25152.0,,Yes,2.0,Low,Yes
,47.0,Male,Bangalore,High School,,159942.0,797.0,431544.0,24.0,16.4,2.0,No,Single,2.0,Rented,Yes,Yes,764342.0,32532.0,344.0,Yes,4.8,Low,Yes
78.0,35.0,,Ahmedabad,,Salaried,44830.0,452.0,331722.0,12.0,,3.0,Yes,Single,0.0,Mortgaged,No,No,,25791.0,99.0,,4.0,Low,Yes
79.0,49.0,Female,Chennai,PhD,Unemployed,122832.0,637.0,767723.0,72.0,8.07,2.0,Yes,Single,1.0,Owned,Yes,No,1427490.0,85209.0,311.0,Yes,4.1,High,Yes
80.0,20.0,Female,Mumbai,Diploma,Unemployed,27159.0,334.0,770384.0,48.0,15.25,4.0,Yes,Married,3.0,Rented,No,Yes,549089.0,68273.0,,Yes,4.3,Low,Yes
81.0,37.0,Male,Delhi,Diploma,Business,178849.0,709.0,,12.0,8.77,2.0,No,Married,5.0,Owned,No,Yes,629690.0,66922.0,354.0,No,,High,No
82.0,68.0,Male,Chennai,Diploma,Business,107044.0,737.0,,12.0,9.82,5.0,Yes,Single,0.0,Owned,No,Yes,414388.0,19323.0,,Yes,1.7,Medium,Yes
83.0,36.0,Female,,Diploma,Self-Employed,,,306012.0,60.0,12.96,2.0,Yes,,3.0,Rented,No,No,399480.0,59021.0,167.0,Yes,3.0,Low,Yes
84.0,39.0,Male,Ahmedabad,PhD,Salaried,196503.0,850.0,253405.0,24.0,16.02,5.0,Yes,Divorced,1.0,,Yes,Yes,992405.0,88863.0,35.0,,1.9,Low,
85.0,21.0,Female,Bangalore,Graduate,Business,183540.0,725.0,82649.0,48.0,13.74,2.0,No,Married,2.0,Owned,Yes,,196919.0,90533.0,,No,3.5,Medium,No
86.0,,Female,Pune,PhD,Unemployed,45873.0,421.0,733492.0,36.0,7.94,3.0,Yes,Married,1.0,Rented,No,Yes,981588.0,49796.0,3.0,No,3.8,High,Yes
87.0,65.0,,Chennai,Post Graduate,,90712.0,827.0,270941.0,,12.11,3.0,Yes,Divorced,5.0,Rented,Yes,Yes,1108518.0,73682.0,308.0,No,1.7,,Yes
88.0,34.0,Female,Bangalore,High School,Self-Employed,9700.0,529.0,,48.0,15.88,0.0,Yes,Married,1.0,Owned,No,No,1128748.0,36112.0,260.0,Yes,1.1,High,Yes
89.0,30.0,Male,Ahmedabad,,Salaried,161680.0,,24338.0,,14.78,5.0,Yes,Single,3.0,,No,Yes,318268.0,93022.0,183.0,Yes,3.1,High,No
,47.0,,Hyderabad,Diploma,Unemployed,21317.0,841.0,335059.0,48.0,6.86,4.0,Yes,,3.0,Owned,No,No,225061.0,99413.0,155.0,No,1.9,,Yes
91.0,61.0,Female,,Post Graduate,Self-Employed,156558.0,308.0,,72.0,17.91,0.0,Yes,Divorced,2.0,Mortgaged,Yes,No,1187352.0,8375.0,74.0,Yes,4.4,High,Yes
92.0,59.0,Female,Mumbai,High School,Salaried,93766.0,421.0,338678.0,72.0,,5.0,No,Married,4.0,Owned,Yes,Yes,435816.0,95267.0,311.0,Yes,1.8,Medium,Yes
93.0,27.0,Female,Mumbai,Diploma,Salaried,148560.0,785.0,25685.0,,18.53,5.0,,Single,4.0,Mortgaged,No,No,113022.0,19397.0,66.0,No,2.0,Low,No
94.0,30.0,Male,Chennai,,Self-Employed,67694.0,805.0,568505.0,,7.32,,Yes,,5.0,,No,Yes,1032469.0,98359.0,188.0,Yes,1.3,High,Yes
95.0,21.0,Female,Pune,High School,Self-Employed,125436.0,535.0,,24.0,6.72,2.0,No,Single,1.0,Mortgaged,No,,98525.0,42749.0,,Yes,4.2,Low,No
96.0,64.0,Male,Hyderabad,High School,Salaried,,661.0,231222.0,72.0,9.9,2.0,,Divorced,2.0,Rented,Yes,Yes,49894.0,6099.0,64.0,Yes,3.5,Medium,No
97.0,,Male,Hyderabad,PhD,,130787.0,396.0,,72.0,8.08,2.0,No,Married,5.0,Owned,,No,679882.0,89056.0,343.0,No,3.0,Low,Yes
98.0,38.0,Male,Pune,High School,Unemployed,92710.0,749.0,694281.0,,,0.0,No,Single,2.0,Rented,Yes,No,633607.0,55091.0,54.0,No,2.0,,Yes
99.0,33.0,Female,Ahmedabad,Diploma,Business,134676.0,872.0,338840.0,,18.42,1.0,No,Single,2.0,,,No,1366922.0,92340.0,,Yes,3.6,Low,Yes
100.0,53.0,,Chennai,PhD,Salaried,8014.0,548.0,133923.0,36.0,12.62,3.0,Yes,Divorced,4.0,Mortgaged,,Yes,789162.0,80522.0,234.0,Yes,3.3,Low,No
101.0,66.0,,Pune,Graduate,Unemployed,140552.0,491.0,448857.0,36.0,15.31,5.0,No,Married,2.0,Rented,Yes,Yes,289910.0,96682.0,163.0,Yes,3.8,Medium,No
,22.0,Female,Mumbai,Post Graduate,Self-Employed,158386.0,,254114.0,12.0,13.96,4.0,No,Married,2.0,Rented,No,No,826576.0,62562.0,187.0,,,Low,Yes
103.0,61.0,,Ahmedabad,Diploma,Salaried,30351.0,616.0,739562.0,72.0,10.7,0.0,Yes,Married,2.0,Owned,Yes,No,,73449.0,141.0,No,4.5,Medium,Yes
104.0,26.0,Female,,Graduate,Salaried,63159.0,,433881.0,36.0,16.52,4.0,,Married,5.0,Mortgaged,No,No,160372.0,38350.0,,Yes,4.1,Low,No
105.0,44.0,,Chennai,,Salaried,19017.0,486.0,542040.0,60.0,17.2,,No,Divorced,3.0,Rented,No,Yes,824868.0,66151.0,54.0,Yes,1.2,Medium,No
,61.0,Female,Delhi,PhD,Salaried,81808.0,491.0,375179.0,36.0,7.42,3.0,No,,0.0,Mortgaged,Yes,,259118.0,84303.0,,,2.2,High,No
107.0,65.0,Male,Chennai,High School,Salaried,169009.0,735.0,61491.0,,19.34,4.0,No,,5.0,Mortgaged,No,No,,93321.0,,Yes,4.3,Low,Yes
,41.0,Female,Chennai,Diploma,Unemployed,31497.0,759.0,541475.0,12.0,10.51,2.0,No,Single,4.0,Owned,Yes,Yes,,16722.0,64.0,Yes,2.7,High,Yes
109.0,31.0,Male,Mumbai,PhD,Self-Employed,106351.0,473.0,175611.0,60.0,17.02,1.0,No,Divorced,1.0,Owned,Yes,No,338174.0,19741.0,254.0,No,,High,Yes
110.0,68.0,Female,,Diploma,Salaried,,408.0,326544.0,36.0,14.19,3.0,,,5.0,Owned,Yes,Yes,928387.0,57173.0,317.0,Yes,2.9,Low,Yes
111.0,57.0,Female,Bangalore,Graduate,Salaried,143389.0,,78743.0,24.0,14.63,0.0,No,,3.0,Owned,Yes,No,195542.0,46480.0,335.0,No,2.5,Medium,Yes
112.0,,Female,Bangalore,High School,Unemployed,121444.0,749.0,743511.0,48.0,18.27,1.0,Yes,Married,5.0,Owned,Yes,,358262.0,58738.0,169.0,No,4.8,Medium,No
113.0,47.0,Male,Ahmedabad,,Salaried,47698.0,,290393.0,,17.78,4.0,Yes,Single,3.0,Mortgaged,Yes,,1212731.0,91348.0,267.0,No,,Low,Yes
114.0,30.0,Male,,Diploma,,159844.0,342.0,,60.0,16.62,1.0,Yes,Single,,Mortgaged,No,Yes,379329.0,63411.0,1.0,No,2.0,High,No
,30.0,Male,Mumbai,PhD,,155781.0,678.0,189543.0,72.0,10.41,3.0,No,Divorced,0.0,Owned,,,1439085.0,38599.0,125.0,No,4.1,High,Yes
116.0,,Male,Chennai,Diploma,Business,78377.0,429.0,334085.0,60.0,9.4,1.0,,,3.0,,Yes,No,213783.0,16210.0,195.0,Yes,2.1,Low,Yes
117.0,,Female,Hyderabad,Graduate,Self-Employed,,,106077.0,24.0,15.73,0.0,No,Divorced,4.0,Owned,No,No,,62729.0,,No,4.2,,Yes
118.0,26.0,,Ahmedabad,,Salaried,130881.0,584.0,505775.0,60.0,7.3,3.0,Yes,,3.0,Mortgaged,Yes,No,,95465.0,273.0,Yes,,High,No
,56.0,Female,Pune,Diploma,Self-Employed,162557.0,829.0,56668.0,,14.66,,Yes,Single,1.0,Mortgaged,,No,540755.0,87456.0,354.0,,1.7,High,
120.0,24.0,Female,Hyderabad,Diploma,,14880.0,557.0,379330.0,72.0,16.42,0.0,No,Divorced,3.0,Rented,Yes,Yes,436143.0,13397.0,193.0,No,4.8,High,No
121.0,39.0,Female,Mumbai,Graduate,Unemployed,149758.0,399.0,432863.0,,12.08,3.0,No,Divorced,2.0,Mortgaged,No,,503011.0,67184.0,358.0,Yes,,High,Yes
122.0,62.0,Male,Chennai,PhD,Business,,594.0,277009.0,72.0,15.11,1.0,,Married,5.0,Rented,No,No,101243.0,22682.0,105.0,Yes,1.4,High,No
,45.0,Male,,,Business,189718.0,892.0,563427.0,12.0,14.0,4.0,,Divorced,4.0,Mortgaged,Yes,No,1068740.0,67603.0,22.0,Yes,3.5,Medium,Yes
124.0,,,Chennai,Post Graduate,Self-Employed,70029.0,,281336.0,48.0,15.53,3.0,Yes,Married,4.0,Mortgaged,Yes,,327119.0,,326.0,No,1.1,Low,Yes
,35.0,,Chennai,Graduate,Self-Employed,28948.0,483.0,542666.0,36.0,17.53,,No,Married,2.0,Rented,Yes,Yes,,25735.0,109.0,No,3.9,Medium,Yes
126.0,60.0,Male,Pune,Diploma,Business,105392.0,665.0,508544.0,36.0,11.46,5.0,Yes,,3.0,Mortgaged,Yes,Yes,929872.0,55809.0,58.0,Yes,1.5,Low,Yes
127.0,65.0,Male,Bangalore,Post Graduate,Business,,557.0,700626.0,36.0,6.74,2.0,Yes,Divorced,1.0,,Yes,Yes,912431.0,,166.0,No,2.0,,Yes
128.0,23.0,Female,Delhi,PhD,Unemployed,176869.0,338.0,267033.0,48.0,12.12,3.0,No,Divorced,0.0,Rented,,No,,68421.0,287.0,Yes,1.9,High,No
,54.0,Female,Ahmedabad,Graduate,Self-Employed,90872.0,723.0,,48.0,8.3,2.0,,Single,5.0,Owned,Yes,Yes,,46013.0,0.0,Yes,,High,Yes
130.0,59.0,Male,,,Self-Employed,,478.0,308643.0,,14.45,4.0,Yes,Divorced,3.0,Mortgaged,No,No,68510.0,94592.0,267.0,No,2.2,,Yes
,59.0,Male,Mumbai,Graduate,Salaried,125891.0,799.0,166223.0,72.0,11.34,,No,Divorced,5.0,Owned,Yes,No,165361.0,70996.0,251.0,Yes,1.4,High,Yes
132.0,47.0,Female,Chennai,Graduate,Unemployed,107273.0,877.0,523922.0,24.0,8.2,5.0,Yes,Married,,Owned,No,Yes,907167.0,,103.0,Yes,3.3,Low,No
133.0,,Female,,,Salaried,124570.0,640.0,689522.0,36.0,16.13,0.0,Yes,Single,,Owned,Yes,,544403.0,46538.0,206.0,Yes,4.7,Low,
134.0,18.0,Male,Ahmedabad,PhD,Unemployed,84108.0,377.0,,24.0,17.7,2.0,No,Married,3.0,Mortgaged,No,No,1386842.0,5681.0,210.0,No,4.7,Low,No
135.0,40.0,Male,Mumbai,PhD,Business,66282.0,352.0,25749.0,72.0,9.38,3.0,Yes,Married,,Mortgaged,No,No,3092.0,45612.0,295.0,,3.1,High,Yes
136.0,52.0,Female,Mumbai,PhD,Business,161745.0,494.0,488755.0,,16.92,3.0,Yes,Single,4.0,Mortgaged,No,,861090.0,66948.0,237.0,Yes,3.8,Low,No
137.0,30.0,Male,Chennai,Graduate,Unemployed,108553.0,606.0,353611.0,24.0,9.72,4.0,Yes,,2.0,Owned,No,No,885173.0,11792.0,299.0,Yes,,High,Yes
138.0,24.0,Male,Pune,Diploma,Business,105724.0,430.0,621665.0,12.0,,3.0,No,Single,5.0,Owned,No,Yes,699201.0,90436.0,110.0,No,2.3,High,Yes
139.0,58.0,Female,,Post Graduate,Self-Employed,24990.0,632.0,225609.0,12.0,10.06,,Yes,Married,4.0,Owned,No,,536782.0,64165.0,,No,4.0,High,No
140.0,52.0,Male,Ahmedabad,PhD,Self-Employed,,319.0,625519.0,60.0,9.19,,No,Divorced,,Mortgaged,Yes,,836945.0,,134.0,Yes,3.0,High,No
141.0,60.0,Female,Delhi,Graduate,Business,191267.0,667.0,161511.0,48.0,16.34,0.0,No,Single,0.0,Rented,No,No,1075509.0,85492.0,0.0,No,2.9,Medium,No
142.0,64.0,Male,Ahmedabad,High School,Business,110404.0,387.0,462332.0,72.0,15.72,0.0,Yes,Single,,Rented,No,No,225726.0,71571.0,176.0,No,1.6,High,Yes
143.0,67.0,Female,Mumbai,Post Graduate,Salaried,87573.0,521.0,420174.0,72.0,12.47,0.0,No,,,,Yes,No,205123.0,14261.0,316.0,Yes,3.1,Low,
144.0,47.0,Female,Chennai,Diploma,Salaried,193677.0,331.0,624355.0,72.0,9.93,,Yes,Married,5.0,Mortgaged,No,Yes,906452.0,26036.0,272.0,No,4.8,Low,No
145.0,56.0,Male,Chennai,High School,,164746.0,549.0,747947.0,24.0,8.57,4.0,Yes,Single,,Rented,No,Yes,925581.0,7197.0,246.0,Yes,1.2,Medium,Yes
146.0,60.0,Female,Delhi,Post Graduate,Business,73451.0,751.0,433565.0,72.0,11.6,,No,Single,3.0,Mortgaged,No,Yes,430309.0,66762.0,114.0,No,2.2,Medium,No
147.0,35.0,Male,Mumbai,,Self-Employed,68432.0,409.0,634152.0,60.0,9.05,4.0,No,Single,4.0,Owned,Yes,No,673946.0,53326.0,,Yes,,Low,Yes
,23.0,Male,,,Self-Employed,120666.0,605.0,721021.0,48.0,10.48,1.0,No,Divorced,3.0,Owned,Yes,Yes,321559.0,86048.0,80.0,,,Low,Yes
